GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlinebiz-entrust,com.njustc.onlinebiz.entrust.controller,EntrustController,169,0,0,0,42,0,24,0,24,0
onlinebiz-entrust,com.njustc.onlinebiz.entrust.controller,EntrustControllerAdvice,47,0,0,0,12,0,7,0,7,0
onlinebiz-entrust,com.njustc.onlinebiz.entrust.service,DefaultEntrustService,111,949,31,155,24,192,31,88,2,24
onlinebiz-entrust,com.njustc.onlinebiz.entrust.dao,MongoEntrustDAO,383,0,8,0,58,0,29,0,25,0
onlinebiz-entrust,com.njustc.onlinebiz.entrust.exception,EntrustPermissionDeniedException,0,4,0,0,0,2,0,1,0,1
onlinebiz-entrust,com.njustc.onlinebiz.entrust.exception,EntrustDAOFailureException,4,0,0,0,2,0,1,0,1,0
onlinebiz-entrust,com.njustc.onlinebiz.entrust.exception,EntrustInvalidStageException,0,4,0,0,0,2,0,1,0,1
onlinebiz-entrust,com.njustc.onlinebiz.entrust.exception,EntrustNotFoundException,0,4,0,0,0,2,0,1,0,1
onlinebiz-entrust,com.njustc.onlinebiz.entrust.exception,EntrustInvalidArgumentException,0,4,0,0,0,2,0,1,0,1
onlinebiz-entrust,com.njustc.onlinebiz.entrust,EntrustServiceApplication,8,0,0,0,3,0,2,0,2,0
